2023-01-12 21:02:33.284484
2023-01-12 21:03:01.046746
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-12 21:03:06.026349
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-12 21:03:21.311064
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-12 21:03:29.399647
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-12 21:04:16.836994
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-12 21:04:21.781585
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-15 22:40:41.027580
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-15 22:40:45.936508
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-15 22:40:49.122009
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-15 22:40:51.515674
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-15 22:40:54.021799
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-15 22:40:57.217492
{'temperature': 25.2, 'humidity': 73.6, 'meter': {'electricity': {'reading': 12345.6, 'consumption': 1.2}, 'gas': {'reading': 12345.6789, 'consumption': 0.5}, 'water': {'reading': 12345.67, 'consumption': 0.1}}, 'boiler': {'isRun': True, 'temperature': 28.2, 'pressure': 1.6}}2023-01-15 22:40:59.614078
